profesor,rating,fecha,calidad_general,facilidad,tags,num_reviews,promedio,resumen,enlace
"Berlanga, Fabiola","5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 5, 5","06/Jul/2024, 06/Jul/2024, 28/Dic/2023, 28/Dic/2023, 23/Dic/2023, 23/Dic/2023, 15/Dic/2023, 15/Dic/2023, 15/Dic/2023, 15/Dic/2023, 06/Jul/2024, 06/Jul/2024, 28/Dic/2023, 28/Dic/2023, 23/Dic/2023, 23/Dic/2023, 15/Dic/2023, 15/Dic/2023, 15/Dic/2023, 15/Dic/2023, 30/Jul/2023, 18/Jul/2023, 20/Jun/2023, 28/Jul/2022","9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 7.0, 9.0, 10.0","8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 6.0, 6.0, 8.0, 8.0, 10.0, 8.0, 10.0, 8.0","CLASES EXCELENTES, MUCHOS PROYECTOS GRUPALES, LA PARTICIPACIÓN IMPORTA, ASISTENCIA OBLIGATORIA, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, POCOS EXÁMENES, BRINDA APOYO, ASPECTOS DE CALIFICACIÓN CLAROS",11,9.5,"La profesora es excelente en su enseñanza, especialmente para temas relacionados con la infancia y la educación. Utiliza estrategias como dinámicas y ejemplos de la vida diaria para hacer las clases más dinámicas y comprensibles. A pesar de que el temario es tedioso, la profesora intenta hacer las clases más dinámicas y comprensibles. Ella es muy comprensiva y amable, y se esfuerza por hacer que las clases sean más dinámicas y comprensibles. La evaluación es bastante laboriosa debido a la cantidad de trabajos y tareas que se piden, pero vale la pena porque la profesora es muy buena enseñando todas las temáticas del curso. Ella es una maestra que sabe del tema y es muy abierta a la retroalimentación. La profesora es una excelente opción para aquellos que están interesados en trabajar con infancias y la educación. Ella es muy comprensiva y amable, y se esfuerza por hacer que las clases sean más dinámicas y comprensibles.",https://www.misprofesores.com/profesores/fabiola-berlanga_155701
"Bermudez Lozano, Patricia","5, 5","11/Feb/2021, 09/Sep/2020","10.0, 8.0","8.0, 8.0","LA PARTICIPACIÓN IMPORTA, INSPIRACIONAL, DA BUENA RETROALIMENTACIÓN",2,9.0,"La experiencia con la maestra fue muy positiva, destacando su excelencia profesional y su método de enseñanza basado en Edmodo, que permite una participación activa de los alumnos a través de presentaciones.",https://www.misprofesores.com/profesores/Patricia-Bermudez-Lozano_124767
"Bernal Gamboa, Rodolfo","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 4, 2, 1, 4, 4, 5, 3, 4, 2, 4, 4, 3, 5, 4, 4, 3, 2, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","26/May/2025, 26/May/2025, 27/Jul/2023, 27/Jul/2023, 21/Ene/2023, 21/Ene/2023, 12/Jul/2022, 12/Jul/2022, 26/May/2025, 26/May/2025, 27/Jul/2023, 27/Jul/2023, 21/Ene/2023, 21/Ene/2023, 12/Jul/2022, 12/Jul/2022, 31/Dic/2021, 25/Ago/2021, 15/Ago/2021, 13/Ago/2021, 10/Ago/2021, 14/Sep/2020, 11/Ene/2020, 19/Jul/2019, 05/Jul/2019, 29/Jun/2019, 24/Jun/2019, 24/Jul/2018, 25/Jun/2018, 14/Jun/2018, 28/Jul/2017, 30/Jun/2017, 24/Ene/2017, 13/Ene/2017, 19/Jul/2016, 14/Jun/2016, 21/Ene/2016, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015, 19/Ene/2015","7.0, 7.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 7.0, 7.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 7.0, 10.0, 8.0, 8.0, 7.0, 10.0, 10.0, 10.0, 5.0, 10.0, 8.0, 8.0, 8.0, 4.0, 9.0, 7.0, 10.0, 8.0, 8.0, 5.0, 6.0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0","10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 6.0, 10.0, 8.0, 8.0, 6.0, 6.0, 8.0, 8.0, 10.0, 6.0, 10.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0","MUY CÓMICO, MUCHOS EXÁMENES, BRINDA APOYO, LAS CLASES SON LARGAS, LOS EXÁMENES SON DIFÍCILES, CLASES EXCELENTES, BARCO, LA PARTICIPACIÓN IMPORTA, DA CRÉDITO EXTRA, ASISTENCIA OBLIGATORIA, CALIFICA DURO, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, INSPIRACIONAL, MUCHAS TAREAS, PREPÁRATE PARA LEER, POCOS EXÁMENES, ASPECTOS DE CALIFICACIÓN CLAROS",50,7.7,"El texto describe la experiencia de varios estudiantes con diferentes profesores. En general, los estudiantes encuentran que los profesores son buenos en explicar conceptos y proporcionar lecturas. Sin embargo, algunos profesores no son directos y las clases pueden ser aburridas. También se menciona que algunos profesores no explican mucho, y que los temas son expuestos por los alumnos en lugar del profesor. Además, algunos profesores no dan tareas o no explican bien los criterios de calificación.",https://www.misprofesores.com/profesores/Rodolfo-Bernal-Gamboa_63960
"Bernal Álvarez, Yolanda","5, 2, 4, 5, 1, 1, 1, 1, 5, 5","13/Feb/2021, 09/Sep/2020, 30/Jul/2019, 04/Oct/2018, 07/Ene/2015, 03/Oct/2013, 09/Jul/2013, 18/May/2013, 02/Abr/2013, 09/Dic/2012","8.0, 8.0, 7.0, 10.0, 5.0, 3.0, 4.0, 4.0, 9.0, 9.0","8.0, 2.0, 8.0, 10.0, 8.0, 8.0, 4.0, 6.0, 10.0, 10.0","DEJA TRABAJOS LARGOS, LA PARTICIPACIÓN IMPORTA, DA BUENA RETROALIMENTACIÓN, TOMARÍA SU CLASE OTRA VEZ, MUCHAS TAREAS, PREPÁRATE PARA LEER",15,5.7,"El estudiante tuvo una experiencia mixta con la asignatura, destacando la amabilidad de la profesora y la dificultad para acceder a las lecturas y recibir orientación.",
"Bojalil Muños, Juan Carlos","1, 4, 1, 2, 4, 1, 4","23/Dic/2022, 14/Dic/2022, 25/Ago/2022, 05/Ago/2022, 26/Ene/2022, 11/Feb/2021, 10/Feb/2021","2.0, 4.0, 4.0, 6.0, 10.0, 3.0, 10.0","10.0, 10.0, 8.0, 6.0, 6.0, 6.0, 10.0","LAS CLASES SON LARGAS, BARCO, LA PARTICIPACIÓN IMPORTA, CALIFICA DURO, INSPIRACIONAL, PREPÁRATE PARA LEER",7,5.6,"La experiencia en la clase de este profesor ha sido negativa, especialmente para las mujeres, debido a sus comentarios machistas y su actitud desmotivadora. No se recomienda, ya que no enseña adecuadamente y su dinámica de clase es aburrida. Es grosero con los alumnos y se autoproclama feminista, pero sus comentarios son contradictorios. Si estás interesado en la área, puede ser útil, pero para los demás, es mejor evitarlo.",
"Bouzas Riaño, Arturo","3, 4, 4, 5, 4, 5, 2, 5, 5, 4, 4, 3, 4, 5, 3, 4, 5, 4, 2, 4, 2, 5, 4, 5, 5, 5, 5, 4, 3, 4, 4, 4, 5, 4, 5, 5, 2, 3, 4, 5, 3, 5, 5, 2, 2, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 5, 4, 5, 4, 2, 5, 3, 3, 2, 5, 5, 5, 5, 4, 3, 1, 5, 1, 2, 3, 4, 2, 5, 4, 1, 5, 3","29/Jun/2023, 18/Dic/2022, 01/Ago/2022, 17/Ago/2021, 09/Feb/2021, 02/Feb/2021, 31/Ene/2021, 26/Ene/2021, 19/Sep/2020, 10/Sep/2020, 29/Ago/2020, 23/Ago/2020, 07/Dic/2019, 08/Sep/2019, 10/Ago/2019, 02/Jul/2019, 05/May/2019, 08/Abr/2019, 04/Ene/2019, 19/Nov/2018, 24/Jul/2018, 17/Jul/2018, 14/Jun/2018, 31/Ago/2017, 04/Jul/2017, 03/Jul/2017, 29/Jun/2017, 08/Feb/2017, 24/Ene/2017, 10/Ene/2017, 25/Jul/2016, 22/Jul/2016, 19/Jul/2016, 19/Jul/2016, 30/Jun/2016, 29/Jun/2016, 11/Abr/2016, 26/Ene/2016, 31/Ago/2015, 29/Jul/2015, 27/Jul/2015, 22/Jul/2015, 22/Jul/2015, 10/Jul/2015, 02/Jul/2015, 01/Jul/2015, 09/Ene/2015, 29/Dic/2014, 29/Jul/2014, 25/Jul/2014, 21/Ene/2014, 15/Ene/2014, 18/Sep/2013, 28/Ago/2013, 28/Jul/2013, 17/Jul/2013, 22/May/2013, 22/Ene/2013, 22/Ene/2013, 14/Dic/2012, 09/Dic/2012, 28/Jul/2012, 23/Jul/2012, 22/Jul/2012, 20/Jun/2012, 09/Jun/2012, 23/May/2012, 17/May/2012, 23/Feb/2012, 06/Feb/2012, 22/Ene/2012, 21/Ene/2012, 18/Ene/2012, 18/Ene/2012, 14/Dic/2011, 15/Ago/2011, 18/Jun/2011, 09/Jun/2011, 10/Abr/2011, 17/Mar/2011, 25/Jun/2010, 23/Jun/2010, 22/Jun/2010, 22/Jun/2010, 18/Jun/2010","7.0, 6.0, 8.0, 9.0, 9.0, 9.0, 7.0, 9.0, 8.0, 9.0, 7.0, 7.0, 7.0, 10.0, 7.0, 10.0, 10.0, 10.0, 3.0, 5.0, 6.0, 9.0, 9.0, 10.0, 10.0, 7.0, 9.0, 8.0, 6.0, 7.0, 7.0, 10.0, 10.0, 10.0, 7.0, 8.0, 5.0, 4.0, 7.0, 7.0, 4.0, 10.0, 10.0, 5.0, 5.0, 4.0, 7.0, 7.0, 10.0, 9.0, 9.0, 7.0, 8.0, 10.0, 10.0, 6.0, 2.0, 7.0, 6.0, 8.0, 9.0, 9.0, 2.0, 8.0, 3.0, 5.0, 2.0, 10.0, 10.0, 10.0, 8.0, 8.0, 10.0, 4.0, 8.0, 2.0, 4.0, 4.0, 6.0, 4.0, 8.0, 3.0, 2.0, 7.0, 6.0","6.0, 4.0, 6.0, 6.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 10.0, 4.0, 10.0, 8.0, 10.0, 4.0, 6.0, 4.0, 8.0, 6.0, 6.0, 10.0, 4.0, 6.0, 8.0, 4.0, 6.0, 2.0, 10.0, 6.0, 4.0, 6.0, 6.0, 2.0, 8.0, 6.0, 6.0, 2.0, 4.0, 2.0, 4.0, 6.0, 2.0, 6.0, 4.0, 8.0, 6.0, 4.0, 8.0, 6.0, 4.0, 4.0, 6.0, 2.0, 4.0, 4.0, 6.0, 8.0, 4.0, 2.0, 8.0, 4.0, 2.0, 2.0, 6.0, 4.0, 6.0, 4.0, 4.0, 4.0, 8.0, 8.0, 4.0, 4.0, 4.0, 8.0, 4.0, 2.0, 2.0, 4.0, 4.0, 6.0","MUY CÓMICO, LOS EXÁMENES SON DIFÍCILES, BRINDA APOYO, LAS CLASES SON LARGAS, MUCHOS EXÁMENES, RESPETADO POR LOS ESTUDIANTES, CLASES EXCELENTES, HACE EXÁMENES SORPRESA, LA PARTICIPACIÓN IMPORTA, DA CRÉDITO EXTRA, CALIFICA DURO, INSPIRACIONAL, TOMARÍA SU CLASE OTRA VEZ, DA BUENA RETROALIMENTACIÓN, MUCHAS TAREAS, PREPÁRATE PARA LEER, POCOS EXÁMENES, ASPECTOS DE CALIFICACIÓN CLAROS",95,7.0,"El profesor Bouzas es un experto en el área experimental de la psicología. Es respetado por su conocimiento y dedicación a la enseñanza. Sin embargo, su estilo puede ser desafiante para algunos estudiantes. Se recomienda para aquellos interesados en el área experimental y con buen nivel de inglés. Para tener éxito, es crucial leer sus notas y prestar atención en clase. El profesor se centra en la psicología como ciencia experimental y utiliza ejemplos y lecturas en inglés. Sus exámenes son complejos y abiertos, lo que requiere una buena comprensión y desarrollo de ideas. En general, el profesor es exigente y su éxito depende de la atención y compromiso del estudiante.",
"Bravo Doddoli, Andrea",4,07/Ene/2024,9.0,10.0,,1,9.0,"La maestra Andrea es amable y flexible, sus clases son más largas debido a diapositivas, pero siempre está atenta a si los estudiantes entienden o no. Ofrece muchas oportunidades para mejorar las calificaciones y sus tareas son fáciles. Los exámenes son largos, pero cubren todo lo que enseñó.",https://www.misprofesores.com/profesores/Andrea-Bravo-Doddoli_172162
"Bruggman Garcia, Annemarie","5, 4, 3, 1, 1","01/Sep/2019, 16/Jul/2013, 17/Ene/2012, 05/Dic/2011, 16/Ago/2011","10.0, 10.0, 6.0, 7.0, 6.0","8.0, 4.0, 6.0, 6.0, 6.0","PREPÁRATE PARA LEER, CALIFICA DURO, BRINDA APOYO",7,7.4,"Roberto Espinosa Alejandre, expresa su gratitud hacia su maestra, quien lo guió en su especialización. Destaca que sus clases son entretenidas, dinámicas y con mucho material audiovisual, pero también menciona que es exigente. Alienta a los estudiantes que buscan un profesor ""barco"" (fácil o rápido) a no elegirla, ya que es más adecuada para aquellos que desean aprender en profundidad. Comenta que la clase puede volverse tediosa debido a su tono de voz y a su forma de hablar, pero asegura que todo es interesante y que ella tiene muchos conocimientos y experiencia. Indica que está cursando psicodiagnóstico con ella y que el jueves tendrá un examen oral, preguntando cómo califica a sus estudiantes.",https://www.misprofesores.com/profesores/Annemarie-Bruggman-Garcia_38184
"Bruner, Carlos","4, 4, 3, 3, 5, 3, 5, 5, 5, 2, 1","16/Sep/2018, 19/Ene/2016, 17/Dic/2015, 11/Jun/2015, 19/Feb/2015, 10/Ene/2015, 23/Mar/2014, 30/Jul/2013, 22/Ene/2013, 07/Ene/2013, 25/Nov/2011","6.0, 8.0, 8.0, 4.0, 2.0, 5.0, 10.0, 10.0, 10.0, 4.0, 2.0","6.0, 6.0, 6.0, 4.0, 2.0, 8.0, 6.0, 8.0, 10.0, 6.0, 4.0","DEJA TRABAJOS LARGOS, PREPÁRATE PARA LEER, POCOS EXÁMENES",16,5.8,"El profesor es excelente en su área de conocimiento, explica bien y sus clases son entretenidas. Sin embargo, puede ser pesado y dogmático, especialmente en seminarios donde puede destruir las ideas presentadas. Es muy recomendado para aquellos interesados en la macroeconomía y la psicología económica. Es un profesor cerrado y dogmático, pero no impone su postura, sino que la defiende y sabe argumentar. La calificación se basa en un examen y un ensayo donde se aplica la teoría vista en el semestre. El profesor no sigue el plan de estudios y puede ser útil para aquellos interesados en la psicología económica, pero no es el mejor para aprender el temario.",https://www.misprofesores.com/profesores/Carlos-Bruner_35642
"Bustos De La Tijera, Leticia","1, 4, 3, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 4, 4, 4, 4, 5, 5, 5, 5, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 4, 4, 4, 4, 5, 5, 5, 5, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 4, 4, 4, 4, 5, 5, 5, 5, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 4, 4, 4, 4, 5, 5, 5, 5, 2, 2, 2, 2","06/Feb/2022, 06/Feb/2021, 08/Ene/2020, 07/Dic/2019, 30/Ene/2019, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 26/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 22/Jul/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 24/Ene/2017, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 08/Ene/2016, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015, 24/Jul/2015","2.0, 8.0, 5.0, 2.0, 6.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 2.0, 2.0","10.0, 10.0, 6.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0","LAS CLASES SON LARGAS, DEJA TRABAJOS LARGOS, MUCHOS PROYECTOS GRUPALES, BARCO, CALIFICA DURO, MUCHAS TAREAS, PREPÁRATE PARA LEER, POCOS EXÁMENES, DA CRÉDITO EXTRA",39,5.9,"El texto describe la experiencia de un estudiante con una profesora en particular, destacando tanto sus aspectos positivos como negativos. En primer lugar, se menciona que la profesora es una persona muy accesible y dispuesta a ayudar en la entrega de trabajos y para subir calificación. Sin embargo, también se señala que su cátedra no es la mejor opción para quienes buscan aprender de manera profunda y crítica. La clase se centra en exposiciones de compañeros y la entrega de trabajos, sin que se profundice en el contenido. Además, la profesora se centra en temas personales y familiares, lo que interrumpe las exposiciones y no genera análisis relevantes. En resumen, el estudiante recomienda esta clase para aquellos que solo buscan copar el CIE y pasar el semestre sin profundizar en el contenido. Por otro lado, se menciona que la profesora es muy accesible y se enfoca en la entrega de trabajos y la exposición de compañeros. Sin embargo, se sugiere que los estudiantes deben buscar un buen equipo para evitar caos y obtener una buena calificación. En general, la clase se centra en la entrega de trabajos y la exposición de compañeros, sin que se profundice en el contenido. Finalmente, se destaca que la profesora es muy accesible y dispuesta a ayudar, pero que la clase no es adecuada para quienes buscan aprender de manera profunda y crítica. En resumen, el estudiante recomienda esta clase para aquellos que solo buscan copar el CIE y pasar el semestre sin profundizar en el contenido.",https://www.misprofesores.com/profesores/Leticia-Bustos-de la Tijera_26625
"Bustos Romero, Olga","5, 4, 2, 2, 5, 4, 4, 2, 4, 2, 3, 2, 1, 3","07/Abr/2013, 16/Ene/2013, 15/Oct/2012, 23/Ene/2012, 12/Ene/2012, 10/Ene/2012, 05/Ene/2012, 04/Ene/2012, 14/Dic/2011, 12/Jun/2011, 10/Ene/2011, 01/Ene/2011, 04/Dic/2010, 20/Jun/2010","10.0, 10.0, 4.0, 7.0, 3.0, 8.0, 10.0, 4.0, 8.0, 5.0, 7.0, 2.0, 3.0, 10.0","10.0, 10.0, 6.0, 8.0, 4.0, 10.0, 10.0, 6.0, 8.0, 6.0, 10.0, 2.0, 10.0, 6.0",,17,6.9,"La profesora en cuestión es una docente con un enfoque social en su enseñanza, conocida por su dedicación a la investigación y sus lecturas detalladas. Aunque sus clases son accesibles y deja material de lectura interesante, es criticada por su falta de profundidad en la explicación de conceptos y su excesiva dependencia de las lecturas. Sus exámenes son fáciles, pero se basan en preguntas directas de las lecturas, lo que puede limitar el aprendizaje. Algunos estudiantes la recomiendan por su amabilidad y su capacidad para ayudar a pasar, mientras que otros la critican por su falta de explicaciones detalladas y su estilo de enseñanza monótono. En general, su desempeño en el programa de canal 11 fue malo, y su enfoque en la memorización de lecturas puede no ser el más efectivo para una educación integral.",https://www.misprofesores.com/profesores/OLGA-BUSTOS-ROMERO_26626
