profesor,fecha,comentario,calidad_general,facilidad
"Acuña, Laura",21/Ene/2015,"Es buena maestra. Obviamente no se le compara con otras eminencias, pero digamos que si aprendes. No es tan estricta, pero también estudiale no seas flojo.",8.0,10.0
"Acuña, Laura",20/Ene/2015,"Como profesora es relativamente buena, pero como persona es fatal, arrogante, desesperada, poco tolerante y sarcástica.",3.0,8.0
"Acuña, Laura",03/Jul/2014,"Dado a que los grupos suelen ser pequeños, su atención es muy personalizada. Los contenidos de sus clase son un poco básicos, pero los explica muy bien y rápido. No se mete en cosas demasiado complicadas de programación ni mucho menos, pero no deja de ser útil para entender las pruebas del SPSS.",10.0,8.0
"Acuña, Laura",20/May/2014,[Comentario esperando revisión],10.0,10.0
"Acuña, Laura",22/Ene/2014,"Es buena, te enseña desde lo más básico (exagera un poquito) pero es muy buena, se desvía un poco pero terminó el temario y bien dado hace fácil la estadística, nunca falto y sólo llegaba como 10 min tarde, sus exámenes son fáciles nada que ella no te enseñe :)",9.0,10.0
"Acuña, Laura",29/Jul/2013,"Es muy informal con la clase, siempre llega tarde (una media hora). Dentro del seminario aporta cierto apoyo pero de manera muy superficial o bien, sólo con los alumnos que pertenecen a su laboratorio.",6.0,6.0
"Acuña, Laura",20/Jul/2013,,9.0,6.0
"Acuña, Laura",15/Ene/2013,,7.0,10.0
"Acuña, Laura",09/Jun/2012,,4.0,4.0
"Acuña, Laura",17/May/2012,,2.0,2.0
"Acuña, Laura",25/Nov/2011,,2.0,4.0
"Acuña, Laura",05/Ago/2011,,10.0,10.0
"Acuña, Laura",16/May/2011,,10.0,6.0
"Acuña, Laura",15/Abr/2011,[Comentario esperando revisión],3.0,8.0
"Acuña, Laura",02/Mar/2011,,2.0,2.0
"Acuña, Laura",27/Feb/2011,,6.0,6.0
"Aguayo, Alejandra",30/Nov/2019,"Solo diré que si tuviera la oportunidad de nunca haberla conocido, no lo hubiera hecho.",2.0,10.0
"Aguayo, Alejandra",11/Nov/2019,"Creo que puede ensenar mejor, me molesta que no me deje anotar ya que aprendo con el ejercicio ojo mano, y después no me daba tiempo pasar los audios a apuntes... yo estoy interesado en el area.",2.0,2.0
"Aguayo, Alejandra",25/Jul/2019,,9.0,6.0
"Aguayo, Alejandra",16/Jul/2018,"Tomé 3 materias con ella porque sinceramente es muuuy clara; sus clases podrían ser un poco tediosas a veces; no te deja apuntar nada (sólo grabar con tu teléfono, si quieres); es 100% examen; siempre hace repasos; es muy muy paciente para aclarar cualquier duda; yo la amo",10.0,6.0
"Aguayo, Alejandra",30/Jun/2017,"Es muy buena profesora, la verdad se preocupa por que aprendas, e 100% examen pero ella explica muy bien y en verdad le entiendes, es muy fácil.",9.0,6.0
"Aguayo, Alejandra",28/Dic/2016,"es 100% examen, no te deja apuntar nada sólo grabar por telefono, si repruebas uno te manda a final, te explica muy bien y hace las clases interesantes",10.0,6.0
"Aguayo, Alejandra",05/Feb/2016,"Es una excelente maestra. Sólo califica con exámenes, pero explica muy bien. Antes de cada clase y antes de cada examen hace repaso. Aunque no pasa asistencia, es muy importante no perderse ninguna clase y leer la bibliografía recomendada.",9.0,10.0
"Aguayo, Alejandra",05/Jun/2015,Es mala onda ... porque en un examen yo borre mi respuesta y puse a correcta ... y esta ciega... se cree perfecta .... recomiendo a David Velazquez... el si acepta que sus errores ... y es humilde.,2.0,10.0
"Aguayo, Alejandra",17/Sep/2014,es buena profesora aunque aveces se te volvera tediosa la clase por que repite muchas veces la informacion pero sus examenes te ponen a pensar es accesible y buena persona,8.0,6.0
"Aguayo, Alejandra",06/Ago/2014,Es muy buena explica muy bien y ademas es justa con la calificación,9.0,6.0
"Aguayo, Alejandra",28/Jul/2014,"buena profesora, la clase son diapositivas, las explica bien, si hay dudas las aclara, sus examenes son de opcion multiple",9.0,4.0
"Aguayo, Alejandra",25/Jul/2014,"Es muy buena maestra la verdad la ame! Califica 100% examen pero si estudias son súper fáciles además que son de opción múltiple, todo esta en sus diapositivas y en el carlson, su único requisito nunca repruebes un examen",9.0,6.0
"Aguayo, Alejandra",25/Jul/2014,"Es buena profesora, pero no sabe explicar muy bien, califica 100% examenes y no ayuda mucho",5.0,6.0
"Aguilar Arredondo, Andrea",06/Jul/2016,"excelente profesora, muy clara en sus explicaciones, aunque por la asignatura fuero pocas, se nota que ama lo que hace, es muy joven pero bastante inteligente, te lleva a practicas de campo en donde( al menos en mi caso) entendí muchas cosas que se suponía deberían haber estado claras desde antes",9.0,10.0
"Aguilar Nery, Jesús",10/Jun/2016,"Como profesor es bueno. Sus clases son amenas y suelen ser bastante claras. El único ""pero"" que le pondría es que suele ser un poco distraído. Sin embargo, es una persona muy abierta, te deja argumentar y se presta para dialogar. Aprendí mucho de su clase.",9.0,8.0
"Aguilar Ribera, UNIBERCIDAD.AUTÓNOMA DE MEXICO",21/Abr/2021,"Juntos iniciamos la escuela superior tratando de sacar adelante tos participamos como un equipo de un lugar diferente para realizar los proyectos !con características sobre el tema en curso .cuando las cosas te gusta las asesa ?con ?tenacidad,educadamente,o Servando cada detalle,2021/19/04",10.0,10.0
"alatorre rico, javier",30/May/2025,"Tiene favoritismo y eso aunque tenga varios favoritos siempre escoge al que más ande de lambiscon, te pide mil cosas pero lo único que toma en cuenta es que tanto lo ayudas en el a sus propios proyectos, sus actividades son interesantes pero demasiado largas y complicadas, no empatiza",4.0,4.0
"alatorre rico, javier",25/Ene/2024,"Es el proyecto de inv. que él lleva, trabajo con educación media superior y los trabajos que te pide son calificar, evaluar, diseñar instrumentos o secuencias didácticas, pero es exigente y el trabajo es mucho. Si te gusta educativa y eres tolerante adelante",5.0,2.0
"alatorre rico, javier",18/Ene/2024,"es super reiterativo, si no estas de acuerdo con el se te vuelca en contra ademas las clases se hacen muy tediosas porque no da descansos",3.0,6.0
"alatorre rico, javier",18/Dic/2023,"Todas las clases repite lo mismo, deja varias tareas y nunca sabes que va a evaluar o como lo hará, tiene clara preferencia a ciertas personas y es muy aburrida su clase. Yo no sentí aprender nada",4.0,4.0
"alatorre rico, javier",16/Dic/2023,"Deja muchísimos trabajos, ni siquiera el sabe que es lo que pide y tampoco te lo dice. En mi grupo fuimos 2 alumnos y una chica de servicio social. Grita y te hace sentir que no sirves para nada, no acepta preguntas y es un acosador. Al final me sugirió ""hacer algo para subir mi calificación""",2.0,2.0
"alatorre rico, javier",30/May/2025,"Tiene favoritismo y eso aunque tenga varios favoritos siempre escoge al que más ande de lambiscon, te pide mil cosas pero lo único que toma en cuenta es que tanto lo ayudas en el a sus propios proyectos, sus actividades son interesantes pero demasiado largas y complicadas, no empatiza",4.0,4.0
"alatorre rico, javier",25/Ene/2024,"Es el proyecto de inv. que él lleva, trabajo con educación media superior y los trabajos que te pide son calificar, evaluar, diseñar instrumentos o secuencias didácticas, pero es exigente y el trabajo es mucho. Si te gusta educativa y eres tolerante adelante",5.0,2.0
"alatorre rico, javier",18/Ene/2024,"es super reiterativo, si no estas de acuerdo con el se te vuelca en contra ademas las clases se hacen muy tediosas porque no da descansos",3.0,6.0
"alatorre rico, javier",18/Dic/2023,"Todas las clases repite lo mismo, deja varias tareas y nunca sabes que va a evaluar o como lo hará, tiene clara preferencia a ciertas personas y es muy aburrida su clase. Yo no sentí aprender nada",4.0,4.0
"alatorre rico, javier",16/Dic/2023,"Deja muchísimos trabajos, ni siquiera el sabe que es lo que pide y tampoco te lo dice. En mi grupo fuimos 2 alumnos y una chica de servicio social. Grita y te hace sentir que no sirves para nada, no acepta preguntas y es un acosador. Al final me sugirió ""hacer algo para subir mi calificación""",2.0,2.0
"alatorre rico, javier",01/Ago/2023,"Te explica los distintos tipos de diseños qué hay, sus características y muy poquito de estadística. Cada clase daba un artículo de investigación (en inglés) del que debías sacar el diseño, la estadística y explicar el porqué lo habían realizado de esa manera. Casi siempre son pocxs alumnxs",10.0,4.0
"alatorre rico, javier",17/Ene/2023,"Su proyecto de investigación es diseño educativo por completo, análisis y evaluación. Si te interesan esos rubros es muy bueno. Hay mucho que leer y reflexionar y aplicar conocimientos previos pero de verdad te forma una visión muy panorámica respecto a todo",9.0,4.0
"alatorre rico, javier",09/Ene/2023,[Comentario esperando revisión],2.0,8.0
"alatorre rico, javier",16/Dic/2022,,5.0,6.0
"alatorre rico, javier",06/Sep/2022,[Comentario esperando revisión],2.0,2.0
"alatorre rico, javier",04/Sep/2022,[Comentario esperando revisión],3.0,2.0
"alatorre rico, javier",31/Ago/2022,[Comentario esperando revisión],2.0,2.0
"alatorre rico, javier",31/Ago/2022,[Comentario esperando revisión],4.0,2.0
"alatorre rico, javier",30/Jun/2022,"El temario de la materia prometía mucho, pero el profesor se encargó de amargarlo todo. No es claro con su manera de evaluar, deja muchas tareas largas y sin sentido, no sabe explicar los temas. Tomé la clase en modalidad híbrida y casi nadie quiso ir a presencial por lo tedioso que era escucharlo.",4.0,6.0
"alatorre rico, javier",21/Jun/2022,[Comentario esperando revisión],3.0,2.0
"alatorre rico, javier",11/Jun/2022,Deja muchas tareas y trabajos para aplicar lo que se discute en clase. Le da mucho peso a las participaciones durante a clase.,7.0,6.0
"alatorre rico, javier",24/Mar/2022,[Comentario esperando revisión],3.0,8.0
"alatorre rico, javier",01/Mar/2022,[Comentario esperando revisión],2.0,2.0
"alatorre rico, javier",11/Ene/2022,"Tuve a este señor por un semestre en línea. Habla durante tres horas y sales de ahí sin entender nada. Tienes que hacer un ensayo cada semana, y al final uno especial que abarque todo, pero no califica nada, estás a la deriva y no sabes qué hiciste bien o mal.",2.0,8.0
"alatorre rico, javier",22/Ago/2021,"La experiencia de la clase dependerá de que tan bien le caigas y que tanto seas una lamebotas. El maestro espera creatividad, ser ""críticos"" e innovadores, de l mano de ser sumamente obedientes y no cuestionar lo que el dice, puesto que el es ""un experto"".",5.0,2.0
"alatorre rico, javier",09/Feb/2021,[Comentario esperando revisión],10.0,4.0
"alatorre rico, javier",31/Dic/2020,[Comentario esperando revisión],8.0,6.0
"alatorre rico, javier",12/Dic/2020,[Comentario esperando revisión],4.0,4.0
"alatorre rico, javier",15/Sep/2020,"Estuve con él en TSC y prácticas, es muy desordenado y quiere que tú hagas todo el trabajo en prácticas y ni lo revisa, el proyecto me gustó pero su forma de enseñar no, quiere que te quedes tiempo extra y sólo se la pasa hablando, cree que si te sales de su proyecto no tendrás éxito ...",5.0,6.0
"alatorre rico, javier",12/Ago/2020,[Comentario esperando revisión],6.0,6.0
"alatorre rico, javier",17/Jul/2020,[Comentario esperando revisión],4.0,2.0
"alatorre rico, javier",02/Jul/2020,[Comentario esperando revisión],5.0,4.0
"alatorre rico, javier",28/May/2020,[Comentario esperando revisión],7.0,6.0
"alatorre rico, javier",13/May/2020,"Como ya dicen los demás, es el único proyecto decente en la Facultad, lo cual no lo exime de ser un pésimo guía. Preparate para entrarle a como sepas porque el espera que ya sepas todo y que solo lo apliques. Nota aparte: es muy incómodo cacharlo mirando a las chicas de la prepa ????",6.0,4.0
"alatorre rico, javier",09/Feb/2020,"PÉSIMO! En lo que respecta al proyecto no conoce a su equipo ya que son egoístas con el material, su equipo hace el ambiente pesado,solo buscan humillar al que no sabe tanto sus alumnos que ya trabajan con el como el mismo. Prepárate para quedarte 2 horas más a tu hora de salida",4.0,6.0
"alatorre rico, javier",05/Sep/2019,"Parte 1 Es una persona muy desordenada en su manera de hablar. Se cree, eso sí, con la receta mágica para resolver todos los problemas. El proyecto tiene la ventaja de que es lo único serio que existe en la facultad, es decir, aquél que realmente le saca jugo a la Psicología Educativa.",5.0,2.0
"alatorre rico, javier",23/Jul/2019,"Trabajar con el profesor Alatorre en el escenario es una muy buena oportunidad, ya que aprendes muchísimo y adquieres experiencia como psicólogo educativo. El escenario es la ENP5 y trabajamos con docentes, lo cual brinda una experiencia única. Es mucho trabajo, pero vale totalmente la pena.",6.0,6.0
"alatorre rico, javier",23/Jul/2019,"El escenario del profesor Javier es muy bueno, te da muchas oportunidades para crecer como un verdadero Psicólogo Educativo, te brinda muchas herramientas y apoyos para aprender. Es el mejor escenario (ENP5) Trabajas bastante pero aprendes el triple. El ambiente con los compañeros es muy agradable",8.0,10.0
"alatorre rico, javier",10/Jul/2019,"(Período 2018-1) Es chido, recomiendo que participes por lo menos una vez en cada clase para que vea iniciativa de tu parte; no te duermas o sino te quema leve; no hace exámenes, solo se debe entregar un informe de cada clase. Muy fácil tener el 9 o el 10. Quizá lo pesado es seguirle el hilo.",7.0,10.0
"alatorre rico, javier",05/Jul/2019,"El profesor no hace examenes. Leemos bastante, pero eso es algo que haras durante toda la carrera en todas las materias. Le interesa que pienses, reflexiones, a el no interesa que te aprendas las cosas de memoria, eso es de la vieja escuela. Participa para que te ubique.",9.0,6.0
"alatorre rico, javier",29/May/2019,"La verdad tiene una forma de hablar muy confusa, ya ni Peña Nieto. Sus lecturas son buenas, y el proyecto es muy valioso, pero todo el proceso se dificulta un poco por su falta de claridad. Es un 50/50. Yo lo metí porque es el único proyecto con un objetivo serio.",5.0,10.0
"alatorre rico, javier",19/May/2019,"Tiene un carácter especial, sus clases son largas porque si da las 3 horas pero si te gusta la educativa es muy accesible a trabajar con el en sus proyectos. no hace examen, todo se basa en una bitácora por clase, pregunta mucho porque es lo que has estado leyendo pero no es difícil pasar con el",7.0,8.0
"alatorre rico, javier",01/Abr/2019,[Comentario esperando revisión],2.0,2.0
"alatorre rico, javier",09/Feb/2019,"Es un muy buen profesor, se nota que sabe de la materia. El quiere que pienses con la teoría y no que repitas conceptos, muy recomendado.",9.0,8.0
"alatorre rico, javier",14/Ene/2019,"Es un profesor agradable y a pesar de que sus clases son muy largas valen la pena, eso si, es muy importante prestar mucha atención desde que inicia la clase para entenderlo.",7.0,10.0
"alatorre rico, javier",14/Dic/2018,"Es fácil pasar, si cumples con los ensayos y participas, su clase es tediosa a veces pero es cuestión de entender el tema, lee mucho sternberg y con eso basta.",7.0,8.0
"alatorre rico, javier",24/Ago/2018,"Es una persona sumamente nefasta, sólo buscar humillar al que no sabe. Según la asistencia es obligatoria pero incluso a los que nunca van les pone 8. NUNCA revisa nada y deja pura tarea tonta. HUYAAAAAAAAAAN",6.0,8.0
"alatorre rico, javier",12/Ago/2018,"De los pocos profesores que forman psicólogos críticos. El enfoque sociocultural que te comparte, te permite comprender a la educación como un fenómeno complejo que está en constante transformación El único consejo es que debes ser un estudiante responsable ya que trabajas mucho con él.",10.0,6.0
"alatorre rico, javier",07/Ago/2018,"Su forma de enseñar es diferente, te hace ser un estudiante activo, te deja muchas lecturas pero son necesarias para entender la teoría. No hace exámenes y califica con un proyecto final. No faltes mucho ya que el se da cuenta de quién va",9.0,10.0
"alatorre rico, javier",20/Jul/2018,"Es muy extraña su forma de evaluar ( nunca la dio a conocer realmente) aveces si tomaba lista y otras no, te obligaba a participar, dejaba leer y muchos trabajos de los cuales fueron contados los que reviso, unas clases son buenas pero la mayoría son repetitivas...",6.0,8.0
"alatorre rico, javier",14/Dic/2018,"Es fácil pasar, si cumples con los ensayos y participas, su clase es tediosa a veces pero es cuestión de entender el tema, lee mucho sternberg y con eso basta.",7.0,8.0
"alatorre rico, javier",24/Ago/2018,"Es una persona sumamente nefasta, sólo buscar humillar al que no sabe. Según la asistencia es obligatoria pero incluso a los que nunca van les pone 8. NUNCA revisa nada y deja pura tarea tonta. HUYAAAAAAAAAAN",6.0,8.0
"alatorre rico, javier",12/Ago/2018,"De los pocos profesores que forman psicólogos críticos. El enfoque sociocultural que te comparte, te permite comprender a la educación como un fenómeno complejo que está en constante transformación El único consejo es que debes ser un estudiante responsable ya que trabajas mucho con él.",10.0,6.0
"alatorre rico, javier",07/Ago/2018,"Su forma de enseñar es diferente, te hace ser un estudiante activo, te deja muchas lecturas pero son necesarias para entender la teoría. No hace exámenes y califica con un proyecto final. No faltes mucho ya que el se da cuenta de quién va",9.0,10.0
"alatorre rico, javier",20/Jul/2018,"Es muy extraña su forma de evaluar ( nunca la dio a conocer realmente) aveces si tomaba lista y otras no, te obligaba a participar, dejaba leer y muchos trabajos de los cuales fueron contados los que reviso, unas clases son buenas pero la mayoría son repetitivas...",6.0,8.0
